level,paper_id,question_text,option_1,option_2,option_3,option_4,correct_option
4,3,"Which mathematical concept did Gödel's incompleteness theorems challenge?","Completeness","Consistency","Decidability","Soundness",1
4,4,"What is the significance of the Mandelbrot set in mathematics?","Fractals","Topology","Number theory","Algebra",1
4,4,"Which philosopher is known for the 'categorical imperative'?","Kant","Hume","Locke","Rousseau",1
4,4,"What is the Millennium Prize Problems' focus?","Unsolved problems","Quantum mechanics","Relativity","Cryptography",1
4,4,"Which element is known for its superconductive properties?","Mercury","Lead","Yttrium","Copper",3
4,4,"What is the main focus of the Pauli exclusion principle?","Fermions","Bosons","Photons","Neutrons",1
4,4,"Who developed the uncertainty principle in quantum mechanics?","Heisenberg","Einstein","Bohr","Planck",1
4,4,"What is the central concept of Sartre's 'Being and Nothingness'?","Existentialism","Absurdism","Nihilism","Determinism",1
4,4,"Which civilization is credited with the invention of the calendar?","Egyptian","Mayan","Roman","Greek",2
4,4,"What is the main idea of Lacan's psychoanalysis?","Mirror stage","Oedipus complex","Dream analysis","Transference",1
4,4,"Which mathematical concept did Turing develop?","Computability","Complexity","Topology","Algebra",1
4,5,"What is the significance of the Lorentz transformation in physics?","Relativity","Quantum mechanics","Thermodynamics","Electromagnetism",1
4,5,"Which philosopher is known for the 'dialectic method'?","Hegel","Kant","Socrates","Descartes",1
4,5,"What is the Poincaré conjecture about?","Topology","Number theory","Complex analysis","Differential equations",1
4,5,"Which element is known for its catalytic properties?","Platinum","Gold","Silver","Copper",1
4,5,"What is the main focus of the Planck constant?","Quantum mechanics","Relativity","Thermodynamics","Electromagnetism",1
4,5,"Who developed the theory of general relativity?","Einstein","Newton","Galileo","Bohr",1
4,5,"What is the central theme of Kierkegaard's 'Fear and Trembling'?","Faith","Despair","Freedom","Ethics",1
4,5,"Which civilization is credited with the invention of the compass?","Chinese","Greek","Roman","Egyptian",1
4,5,"What is the main idea of Baudrillard's 'Simulacra and Simulation'?","Hyperreality","Postmodernism","Existentialism","Structuralism",1
4,5,"Which mathematical concept did Riemann develop?","Geometry","Calculus","Number theory","Algebra",1
4,6,"What is the significance of the Dirac equation in quantum mechanics?","Electron behavior","Photon behavior","Neutron behavior","Proton behavior",1
4,6,"Which philosopher is known for 'The Will to Power'?","Nietzsche","Kant","Hegel","Sartre",1
4,6,"What is the Birch and Swinnerton-Dyer conjecture about?","Elliptic curves","Prime numbers","Riemann zeta function","Fibonacci sequence",1
4,6,"Which element is known for its role in organic chemistry?","Carbon","Oxygen","Hydrogen","Nitrogen",1
4,6,"What is the main focus of the Copenhagen interpretation?","Quantum mechanics","Relativity","Thermodynamics","Electromagnetism",1
4,6,"Who proposed the theory of evolution by natural selection?","Darwin","Mendel","Lamarck","Wallace",1
4,6,"What is the central theme of Foucault's 'The Birth of the Clinic'?","Medical gaze","Biopolitics","Panopticism","Governmentality",1
4,6,"Which civilization is credited with the invention of paper?","Chinese","Greek","Roman","Egyptian",1
4,6,"What is the main idea of Althusser's 'Ideology and Ideological State Apparatuses'?","Interpellation","Hegemony","Power","Resistance",1
4,6,"Which mathematical concept did Nash contribute to?","Game theory","Topology","Number theory","Algebra",1
4,7,"What is the significance of the Born rule in quantum mechanics?","Probability","Energy","Momentum","Spin",1
4,7,"Which philosopher is known for 'The Phenomenology of Spirit'?","Hegel","Kant","Socrates","Descartes",1
4,7,"What is the Hodge conjecture about?","Topology","Number theory","Complex analysis","Differential equations",1
4,7,"Which element is known for its use in semiconductors?","Silicon","Copper","Gold","Silver",1
4,7,"What is the main focus of the Lagrangian mechanics?","Classical mechanics","Quantum mechanics","Thermodynamics","Electromagnetism",1
4,7,"Who developed the concept of the unconscious mind?","Freud","Jung","Adler","Lacan",1
4,7,"What is the central theme of Derrida's 'Of Grammatology'?","Deconstruction","Phenomenology","Postmodernism","Structuralism",1
4,7,"Which civilization is credited with the invention of the alphabet?","Phoenician","Greek","Roman","Egyptian",1
4,7,"What is the main idea of Gramsci's 'Prison Notebooks'?","Hegemony","Ideology","Power","Resistance",1
4,7,"Which mathematical concept did Mandelbrot develop?","Fractals","Topology","Number theory","Algebra",1
4,8,"What is the significance of the Klein-Gordon equation in quantum mechanics?","Scalar fields","Vector fields","Tensor fields","Spinor fields",1
4,8,"Which philosopher is known for 'The World as Will and Representation'?","Schopenhauer","Kant","Hegel","Sartre",1
4,8,"What is the Riemannian geometry about?","Curved spaces","Flat spaces","Discrete spaces","Complex spaces",1
4,8,"Which element is known for its use in batteries?","Lithium","Copper","Gold","Silver",1
4,8,"What is the main focus of the Hamiltonian mechanics?","Energy conservation","Quantum mechanics","Thermodynamics","Electromagnetism",1
4,8,"Who developed the theory of psychoanalysis?","Freud","Jung","Adler","Lacan",1
4,8,"What is the central theme of Adorno's 'Dialectic of Enlightenment'?","Culture industry","Phenomenology","Postmodernism","Structuralism",1
4,8,"Which civilization is credited with the invention of gunpowder?","Chinese","Greek","Roman","Egyptian",1
4,8,"What is the main idea of Habermas' 'The Theory of Communicative Action'?","Rationality","Ideology","Power","Resistance",1
4,8,"Which mathematical concept did Hilbert develop?","Hilbert space","Topology","Number theory","Algebra",1
4,9,"What is the significance of the Noether's theorem in physics?","Symmetries and conservation laws","Energy conservation","Momentum conservation","Spin conservation",1
4,9,"Which philosopher is known for 'The Critique of Pure Reason'?","Kant","Hume","Locke","Rousseau",1
4,9,"What is the Langlands program about?","Number theory","Topology","Complex analysis","Differential equations",1
4,9,"Which element is known for its use in catalytic converters?","Platinum","Copper","Gold","Silver",1
4,9,"What is the main focus of the Feynman diagrams?","Quantum electrodynamics","Relativity","Thermodynamics","Electromagnetism",1
4,9,"Who developed the concept of archetypes in psychology?","Jung","Freud","Adler","Lacan",1
4,9,"What is the central theme of Marcuse's 'One-Dimensional Man'?","Consumer society","Phenomenology","Postmodernism","Structuralism",1
4,9,"Which civilization is credited with the invention of the printing press?","Chinese","Greek","Roman","Egyptian",1
4,9,"What is the main idea of Lyotard's 'The Postmodern Condition'?","Metanarratives","Ideology","Power","Resistance",1
4,9,"Which mathematical concept did Turing contribute to?","Turing machine","Topology","Number theory","Algebra",1
4,10,"What is the significance of the Dirac delta function in quantum mechanics?","Point charge","Wave function","Probability density","Spin",1
4,10,"Which philosopher is known for 'The Critique of Judgment'?","Kant","Hume","Locke","Rousseau",1
4,10,"What is the Weil conjectures about?","Number theory","Topology","Complex analysis","Differential equations",1
4,10,"Which element is known for its use in thermometers?","Mercury","Copper","Gold","Silver",1
4,10,"What is the main focus of the Faraday's law of induction?","Electromagnetic induction","Relativity","Thermodynamics","Electromagnetism",1
4,10,"Who developed the concept of the collective unconscious?","Jung","Freud","Adler","Lacan",1
4,10,"What is the central theme of Habermas' 'The Structural Transformation of the Public Sphere'?","Public sphere","Phenomenology","Postmodernism","Structuralism",1
4,10,"Which civilization is credited with the invention of the abacus?","Chinese","Greek","Roman","Egyptian",1
4,10,"What is the main idea of Baudrillard's 'The Gulf War Did Not Take Place'?","Media reality","Ideology","Power","Resistance",1
4,10,"Which mathematical concept did Gödel contribute to?","Incompleteness theorems","Topology","Number theory","Algebra",1
5,1,"What is the significance of the Yang-Mills existence and mass gap problem?","Quantum field theory","General relativity","String theory","Thermodynamics",1
5,1,"Which philosopher is known for his work 'Being and Time'?","Heidegger","Sartre","Kant","Nietzsche",1
5,1,"What is the Birch and Swinnerton-Dyer conjecture concerned with?","Elliptic curves","Prime numbers","Riemann zeta function","Fibonacci sequence",1
5,1,"Which element has the highest known melting point?","Tungsten","Carbon","Osmium","Iridium",1
5,1,"What is the main focus of the AdS/CFT correspondence?","String theory and quantum gravity","Relativity and electromagnetism","Thermodynamics and quantum mechanics","Quantum field theory and statistical mechanics",1
5,1,"Who formulated the quantum theory of fields?","Dirac","Feynman","Bohr","Heisenberg",1
5,1,"What is the central theme of Wittgenstein's 'Tractatus Logico-Philosophicus'?","Logical atomism","Phenomenology","Existentialism","Structuralism",1
5,1,"Which civilization is credited with the development of algebra?","Babylonian","Greek","Indian","Egyptian",3
5,1,"What is the main idea of Bourdieu's 'Distinction: A Social Critique of the Judgement of Taste'?","Cultural capital","Economic capital","Symbolic capital","Social capital",1
5,1,"Which mathematical concept did Grothendieck contribute to?","Algebraic geometry","Number theory","Topology","Logic",1
5,2,"What is the significance of the Navier-Stokes existence and smoothness problem?","Fluid dynamics","Quantum mechanics","Thermodynamics","Electromagnetism",1
5,2,"Which philosopher is known for 'The Phenomenology of Spirit'?","Hegel","Kant","Socrates","Descartes",1
5,2,"What is the Hodge conjecture about?","Algebraic cycles","Prime numbers","Complex analysis","Elliptic curves",1
5,2,"Which element is known for its superconductivity at high temperatures?","Yttrium barium copper oxide","Lead","Tin","Mercury",1
5,2,"What is the main focus of the Higgs mechanism?","Mass generation","Energy conservation","Force mediation","Quantum entanglement",1
5,2,"Who developed the path integral formulation of quantum mechanics?","Feynman","Dirac","Bohr","Heisenberg",1
5,2,"What is the central theme of Derrida's 'Of Grammatology'?","Deconstruction","Phenomenology","Postmodernism","Structuralism",1
5,2,"Which civilization is credited with the invention of the concept of zero?","Indian","Babylonian","Chinese","Greek",1
5,2,"What is the main idea of Foucault's 'The History of Sexuality'?","Biopolitics","Panopticism","Discipline","Governmentality",1
5,2,"Which mathematical concept did Noether contribute to?","Symmetry and conservation laws","Number theory","Topology","Logic",1
5,3,"What is the significance of the Poincaré conjecture proof?","Topology","Number theory","Complex analysis","Differential equations",1
5,3,"Which philosopher is known for 'The Critique of Pure Reason'?","Kant","Hume","Locke","Rousseau",1
5,3,"What is the Langlands program about?","Number theory","Topology","Complex analysis","Differential equations",1
5,3,"Which element is known for its catalytic properties in hydrogenation reactions?","Palladium","Platinum","Gold","Silver",1
5,3,"What is the main focus of the Standard Model in particle physics?","Fundamental particles and forces","Quantum mechanics","Thermodynamics","Electromagnetism",1
5,3,"Who proposed the uncertainty principle in quantum mechanics?","Heisenberg","Einstein","Bohr","Planck",1
5,3,"What is the central theme of Sartre's 'Being and Nothingness'?","Existentialism","Phenomenology","Absurdism","Nihilism",1
5,3,"Which civilization is credited with the invention of the decimal system?","Indian","Babylonian","Chinese","Greek",1
5,3,"What is the main idea of Lacan's 'The Mirror Stage'?","Identity formation","Oedipus complex","Dream analysis","Transference",1
5,3,"Which mathematical concept did Turing contribute to?","Computability","Complexity","Topology","Algebra",1
5,4,"What is the significance of the Riemann Hypothesis?","Distribution of prime numbers","Quantum mechanics","Relativity","String theory",1
5,4,"Which philosopher is known for 'The Will to Power'?","Nietzsche","Kant","Hegel","Sartre",1
5,4,"What is the Weil conjectures about?","Number theory","Topology","Complex analysis","Differential equations",1
5,4,"Which element is known for its use in nuclear fusion reactions?","Deuterium","Uranium","Thorium","Plutonium",1
5,4,"What is the main focus of the Quantum Field Theory?","Particle interactions","Energy conservation","Force mediation","Quantum entanglement",1
5,4,"Who developed the theory of special relativity?","Einstein","Newton","Galileo","Bohr",1
5,4,"What is the central theme of Heidegger's 'Being and Time'?","Ontology","Epistemology","Ethics","Aesthetics",1
5,4,"Which civilization developed the concept of infinity?","Greek","Indian","Chinese","Babylonian",1
5,4,"What is the main idea of Gramsci's 'Prison Notebooks'?","Hegemony","Ideology","Power","Resistance",1
5,4,"Which mathematical concept did Cantor develop?","Set theory","Calculus","Topology","Algebra",1
5,5,"What is the significance of the Millennium Prize Problems?","Unsolved problems in mathematics","Quantum mechanics","Relativity","Cryptography",1
5,5,"Which philosopher is known for the 'categorical imperative'?","Kant","Hume","Locke","Rousseau",1
5,5,"What is the Birch and Swinnerton-Dyer conjecture about?","Elliptic curves","Prime numbers","Riemann zeta function","Fibonacci sequence",1
5,5,"Which element is known for its role in organic electronics?","Carbon","Silicon","Germanium","Gallium",1
5,5,"What is the main focus of the Lagrangian mechanics?","Classical mechanics","Quantum mechanics","Thermodynamics","Electromagnetism",1
5,5,"Who developed the concept of the unconscious mind?","Freud","Jung","Adler","Lacan",1
5,5,"What is the central theme of Adorno's 'Dialectic of Enlightenment'?","Culture industry","Phenomenology","Postmodernism","Structuralism",1
5,5,"Which civilization is credited with the invention of the compass?","Chinese","Greek","Roman","Egyptian",1
5,5,"What is the main idea of Baudrillard's 'Simulacra and Simulation'?","Hyperreality","Postmodernism","Existentialism","Structuralism",1
5,5,"Which mathematical concept did Riemann develop?","Geometry","Calculus","Number theory","Algebra",1
5,6,"What is the significance of the Dirac equation in quantum mechanics?","Electron behavior","Photon behavior","Neutron behavior","Proton behavior",1
5,6,"Which philosopher is known for 'The World as Will and Representation'?","Schopenhauer","Kant","Hegel","Sartre",1
5,6,"What is the Yang-Mills existence and mass gap problem about?","Quantum field theory","General relativity","String theory","Thermodynamics",1
5,6,"Which element is known for its use in semiconductors?","Silicon","Copper","Gold","Silver",1
5,6,"What is the main focus of Hamiltonian mechanics?","Energy conservation","Quantum mechanics","Thermodynamics","Electromagnetism",1
5,6,"Who developed the theory of psychoanalysis?","Freud","Jung","Adler","Lacan",1
5,6,"What is the central theme of Derrida's 'Of Grammatology'?","Deconstruction","Phenomenology","Postmodernism","Structuralism",1
5,6,"Which civilization is credited with the invention of paper?","Chinese","Greek","Roman","Egyptian",1
5,6,"What is the main idea of Habermas' 'The Theory of Communicative Action'?","Rationality","Ideology","Power","Resistance",1
5,6,"Which mathematical concept did Nash contribute to?","Game theory","Topology","Number theory","Algebra",1
5,7,"What is the significance of the Born rule in quantum mechanics?","Probability","Energy","Momentum","Spin",1
5,7,"Which philosopher is known for 'The Critique of Judgment'?","Kant","Hume","Locke","Rousseau",1
5,7,"What is the Hodge conjecture about?","Topology","Number theory","Complex analysis","Differential equations",1
5,7,"Which element is known for its use in high-temperature superconductors?","Yttrium","Copper","Gold","Silver",1
5,7,"What is the main focus of the Lagrangian mechanics?","Classical mechanics","Quantum mechanics","Thermodynamics","Electromagnetism",1
5,7,"Who developed the concept of archetypes in psychology?","Jung","Freud","Adler","Lacan",1
5,7,"What is the central theme of Marcuse's 'One-Dimensional Man'?","Consumer society","Phenomenology","Postmodernism","Structuralism",1
5,7,"Which civilization is credited with the invention of the alphabet?","Phoenician","Greek","Roman","Egyptian",1
5,7,"What is the main idea of Gramsci's 'Prison Notebooks'?","Hegemony","Ideology","Power","Resistance",1
5,7,"Which mathematical concept did Mandelbrot develop?","Fractals","Topology","Number theory","Algebra",1
5,8,"What is the significance of the Klein-Gordon equation in quantum mechanics?","Scalar fields","Vector fields","Tensor fields","Spinor fields",1
5,8,"Which philosopher is known for 'The Phenomenology of Spirit'?","Hegel","Kant","Socrates","Descartes",1
5,8,"What is the Riemannian geometry about?","Curved spaces","Flat spaces","Discrete spaces","Complex spaces",1
5,8,"Which element is known for its use in batteries?","Lithium","Copper","Gold","Silver",1
5,8,"What is the main focus of the Hamiltonian mechanics?","Energy conservation","Quantum mechanics","Thermodynamics","Electromagnetism",1
5,8,"Who developed the theory of psychoanalysis?","Freud","Jung","Adler","Lacan",1
5,8,"What is the central theme of Adorno's 'Dialectic of Enlightenment'?","Culture industry","Phenomenology","Postmodernism","Structuralism",1
5,8,"Which civilization is credited with the invention of gunpowder?","Chinese","Greek","Roman","Egyptian",1
5,8,"What is the main idea of Habermas' 'The Theory of Communicative Action'?","Rationality","Ideology","Power","Resistance",1
5,8,"Which mathematical concept did Hilbert develop?","Hilbert space","Topology","Number theory","Algebra",1
5,9,"What is the significance of the Noether's theorem in physics?","Symmetries and conservation laws","Energy conservation","Momentum conservation","Spin conservation",1
5,9,"Which philosopher is known for 'The Critique of Pure Reason'?","Kant","Hume","Locke","Rousseau",1
5,9,"What is the Langlands program about?","Number theory","Topology","Complex analysis","Differential equations",1
5,9,"Which element is known for its use in catalytic converters?","Platinum","Copper","Gold","Silver",1
5,9,"What is the main focus of the Feynman diagrams?","Quantum electrodynamics","Relativity","Thermodynamics","Electromagnetism",1
5,9,"Who developed the concept of archetypes in psychology?","Jung","Freud","Adler","Lacan",1
5,9,"What is the central theme of Marcuse's 'One-Dimensional Man'?","Consumer society","Phenomenology","Postmodernism","Structuralism",1
5,9,"Which civilization is credited with the invention of the printing press?","Chinese","Greek","Roman","Egyptian",1
5,9,"What is the main idea of Lyotard's 'The Postmodern Condition'?","Metanarratives","Ideology","Power","Resistance",1
5,9,"Which mathematical concept did Turing contribute to?","Turing machine","Topology","Number theory","Algebra",1
5,10,"What is the significance of the Dirac delta function in quantum mechanics?","Point charge","Wave function","Probability density","Spin",1
5,10,"Which philosopher is known for 'The Critique of Judgment'?","Kant","Hume","Locke","Rousseau",1
5,10,"What is the Weil conjectures about?","Number theory","Topology","Complex analysis","Differential equations",1
5,10,"Which element is known for its use in thermometers?","Mercury","Copper","Gold","Silver",1
5,10,"What is the main focus of the Faraday's law of induction?","Electromagnetic induction","Relativity","Thermodynamics","Electromagnetism",1
5,10,"Who developed the concept of the collective unconscious?","Jung","Freud","Adler","Lacan",1
5,10,"What is the central theme of Habermas' 'The Structural Transformation of the Public Sphere'?","Public sphere","Phenomenology","Postmodernism","Structuralism",1
5,10,"Which civilization is credited with the invention of the abacus?","Chinese","Greek","Roman","Egyptian",1
5,10,"What is the main idea of Baudrillard's 'The Gulf War Did Not Take Place'?","Media reality","Ideology","Power","Resistance",1
5,10,"Which mathematical concept did Gödel contribute to?","Incompleteness theorems","Topology","Number theory","Algebra",1
